Date,Open,High,Low,Close,Adj Close,Volume
7/21/2015,270.049988,273.5,266.549988,266.769989,266.769989,6108700
7/22/2015,261.269989,269.440002,260.859985,267.869995,267.869995,3105000
7/23/2015,269.649994,269.899994,265.269989,267.200012,267.200012,2227200
7/24/2015,267.380005,271.089996,263.920013,265.410004,265.410004,2836500
7/27/2015,262.429993,264.429993,250.789993,253.009995,253.009995,4694200
7/28/2015,255.75,265.399994,251.839996,264.820007,264.820007,3895800
7/29/2015,264.269989,267.890015,262,263.820007,263.820007,2790100
7/30/2015,262.690002,266.940002,262.109985,266.790009,266.790009,2034600
7/31/2015,267.600006,269.359985,265.119995,266.149994,266.149994,2222600
8/3/2015,266.290009,266.709991,257.070007,259.98999,259.98999,2553500
8/4/2015,260.01001,266.720001,258.339996,266.279999,266.279999,2352500
8/5/2015,263.579987,271,260.399994,270.130005,270.130005,6214300
8/6/2015,249.539993,255,236.119995,246.130005,246.130005,14623800
8/7/2015,243.580002,243.729996,238.389999,242.509995,242.509995,5073400
8/10/2015,238.149994,242.970001,236.050003,241.139999,241.139999,4185900
8/11/2015,237.149994,239.300003,234.440002,237.369995,237.369995,4253300
8/12/2015,235,239.770004,232.740005,238.169998,238.169998,3728000
8/13/2015,239.860001,246.479996,239.119995,242.509995,242.509995,4689200
8/14/2015,247.240005,247.929993,241.770004,243.149994,243.149994,4351700
8/17/2015,255.559998,256.589996,250.509995,254.990005,254.990005,7176700
8/18/2015,255.380005,260.950012,253.559998,260.720001,260.720001,4195000
8/19/2015,260.329987,260.649994,255.020004,255.25,255.25,3604300
8/20/2015,252.059998,254.559998,241.899994,242.179993,242.179993,4905800
8/21/2015,236,243.800003,230.509995,230.770004,230.770004,6590200
8/24/2015,202.789993,231.399994,195,218.869995,218.869995,9581600
8/25/2015,230.520004,230.899994,219.119995,220.029999,220.029999,4327300
8/26/2015,227.929993,228,215.509995,224.839996,224.839996,4963000
8/27/2015,231,244.75,230.809998,242.990005,242.990005,7656000
8/28/2015,241.860001,251.449997,241.570007,248.479996,248.479996,5513700
8/31/2015,245.619995,254.949997,245.509995,249.059998,249.059998,4680800
9/1/2015,240.339996,246,236.970001,238.630005,238.630005,5454800
9/2/2015,245.300003,247.880005,239.779999,247.690002,247.690002,4629200
9/3/2015,252.059998,252.080002,245,245.570007,245.570007,4194800
9/4/2015,240.889999,244.089996,238.199997,241.929993,241.929993,3689200
9/8/2015,245.050003,249.160004,244.050003,248.169998,248.169998,3138200
9/9/2015,252.050003,254.25,248.300003,248.910004,248.910004,3384700
9/10/2015,247.229996,250.720001,245.330002,248.479996,248.479996,2709000
9/11/2015,247.639999,250.240005,244.729996,250.240005,250.240005,2350800
9/14/2015,251.100006,254.25,249.669998,253.190002,253.190002,2890900
9/15/2015,252.75,254.600006,249.5,253.570007,253.570007,2929300
9/16/2015,253.039993,262.880005,252.880005,262.25,262.25,4417100
9/17/2015,263.959991,265.5,260.690002,262.070007,262.070007,3585800
9/18/2015,257.959991,263.820007,257.5,260.619995,260.619995,3739800
9/21/2015,263.980011,271.570007,255.800003,264.200012,264.200012,6120200
9/22/2015,259.029999,262.649994,255.869995,260.940002,260.940002,3664400
9/23/2015,261.950012,262.079987,257.579987,261.059998,261.059998,2600800
9/24/2015,259.529999,263.450012,256.209991,263.119995,263.119995,3448200
9/25/2015,266.609985,266.910004,256.149994,256.910004,256.910004,3773400
9/28/2015,257.350006,259.790009,246.610001,248.429993,248.429993,4901100
9/29/2015,250.460007,254.729996,245.460007,246.649994,246.649994,3703200
9/30/2015,252,252.399994,242.339996,248.399994,248.399994,4923300
10/1/2015,247.509995,248.5,237.130005,239.880005,239.880005,4573000
10/2/2015,235.600006,247.699997,234.929993,247.570007,247.570007,4424000
10/5/2015,248.839996,249.839996,244.130005,246.149994,246.149994,3689900
10/6/2015,240,243.029999,235.580002,241.460007,241.460007,5225200
10/7/2015,236.630005,237.699997,229.119995,231.960007,231.960007,6814000
10/8/2015,230.080002,230.720001,221.309998,226.720001,226.720001,6133200
10/9/2015,220.929993,224.369995,218.360001,220.690002,220.690002,6158400
10/12/2015,222.990005,223,215.270004,215.580002,215.580002,3836300
10/13/2015,213.279999,222.520004,211.130005,219.25,219.25,5171500
10/14/2015,220.669998,220.949997,215.429993,216.880005,216.880005,3104400
10/15/2015,216.429993,221.729996,213.699997,221.309998,221.309998,2844200
10/16/2015,223.039993,230.479996,222.869995,227.009995,227.009995,4334500
10/19/2015,226.5,231.149994,224.940002,228.100006,228.100006,2507900
10/20/2015,227.720001,228.600006,202,213.029999,213.029999,14863300
10/21/2015,211.990005,214.809998,208.800003,210.089996,210.089996,4151500
10/22/2015,211.559998,215.75,209.399994,211.720001,211.720001,2825200
10/23/2015,215,215.350006,207.690002,209.089996,209.089996,4235500
10/26/2015,211.380005,215.880005,210,215.259995,215.259995,3391400
10/27/2015,214.839996,217.100006,207.509995,210.350006,210.350006,3519400
10/28/2015,211.309998,213.449997,208.300003,212.960007,212.960007,2728600
10/29/2015,211.75,213.75,210.639999,211.630005,211.630005,1782400
10/30/2015,210.399994,211.630005,203.889999,206.929993,206.929993,4438900
11/2/2015,208.919998,215.800003,207.220001,213.789993,213.789993,3927900
11/3/2015,213.850006,214.440002,207.75,208.350006,208.350006,8332500
11/4/2015,227,232.740005,225.199997,231.630005,231.630005,12706700
11/5/2015,230.580002,234.580002,229.190002,231.770004,231.770004,4496800
11/6/2015,230.699997,233.360001,229.5,232.360001,232.360001,2445300
11/9/2015,232.990005,232.990005,224.309998,225.330002,225.330002,3850900
11/10/2015,223.479996,223.699997,216.080002,216.5,216.5,4617000
11/11/2015,217.770004,219.479996,213.630005,219.080002,219.080002,3347800
11/12/2015,217.850006,219,212.660004,212.940002,212.940002,2915900
11/13/2015,212.949997,212.990005,206.520004,207.190002,207.190002,3430300
11/16/2015,206.089996,214.979996,205.800003,214.309998,214.309998,2925400
11/17/2015,215.199997,216,211.399994,214,214,2148700
11/18/2015,214.5,221.380005,212.520004,221.070007,221.070007,2811900
11/19/2015,220.539993,226.190002,220.300003,221.800003,221.800003,2504400
11/20/2015,223.490005,225,213.580002,220.009995,220.009995,4400700
11/23/2015,217.350006,219.179993,214.679993,217.75,217.75,2526200
11/24/2015,215.369995,221,215,218.25,218.25,2480300
11/25/2015,221.339996,230.830002,220.380005,229.639999,229.639999,3990800
11/27/2015,231.059998,232.25,227.009995,231.610001,231.610001,1949400
11/30/2015,231.789993,234.279999,229.080002,230.259995,230.259995,2659800
12/1/2015,231.059998,238,231.050003,237.190002,237.190002,3734000
12/2/2015,237,238.600006,231.229996,231.990005,231.990005,2981500
12/3/2015,235.479996,237.449997,230,232.710007,232.710007,2939600
12/4/2015,232.460007,233.270004,227.660004,230.380005,230.380005,2573600
12/7/2015,227.699997,235.630005,226.149994,231.130005,231.130005,3144200
12/8/2015,227.520004,228.800003,224.199997,226.720001,226.720001,2687600
12/9/2015,226.699997,227.5,220.720001,224.520004,224.520004,3057800
12/10/2015,224.710007,228.490005,223.639999,227.070007,227.070007,2067000
12/11/2015,225.240005,225.75,216.639999,217.020004,217.020004,3268700
12/14/2015,217.509995,220.919998,214.869995,218.580002,218.580002,2827100
12/15/2015,221.820007,222.220001,218,221.089996,221.089996,2244400
12/16/2015,222.100006,234.880005,220.729996,234.509995,234.509995,5104300
12/17/2015,233.940002,237.759995,229.809998,233.389999,233.389999,3298600
12/18/2015,232.889999,235.899994,229.289993,230.460007,230.460007,3014200
12/21/2015,231.690002,235.830002,231.080002,232.559998,232.559998,1953200
12/22/2015,234.990005,236.550003,229.630005,229.949997,229.949997,1958700
12/23/2015,232.179993,233.449997,228.130005,229.699997,229.699997,1555000
12/24/2015,230.559998,231.880005,228.279999,230.570007,230.570007,710300
12/28/2015,231.490005,231.979996,225.539993,228.949997,228.949997,1900200
12/29/2015,230.059998,237.720001,229.550003,237.190002,237.190002,2406300
12/30/2015,236.600006,243.630005,235.669998,238.089996,238.089996,3697900
12/31/2015,238.509995,243.449997,238.369995,240.009995,240.009995,2715000
1/4/2016,230.720001,231.380005,219,223.410004,223.410004,6827100
1/5/2016,226.360001,226.889999,220,223.429993,223.429993,3186800
1/6/2016,220,220.050003,215.979996,219.039993,219.039993,3779100
1/7/2016,214.190002,218.440002,213.669998,215.649994,215.649994,3554300
1/8/2016,217.860001,220.440002,210.770004,211,211,3628100
1/11/2016,214.009995,214.449997,203,207.850006,207.850006,4089700
1/12/2016,211.600006,213.740005,205.309998,209.970001,209.970001,3091900
1/13/2016,212.009995,212.649994,200,200.309998,200.309998,4126400
1/14/2016,202.210007,210,193.380005,206.179993,206.179993,6490700
1/15/2016,198.970001,205.070007,197.25,204.990005,204.990005,5578600
1/19/2016,208.710007,210.470001,200.779999,204.720001,204.720001,4038700
1/20/2016,199.399994,201.279999,191.25,198.699997,198.699997,5838600
1/21/2016,201.550003,203.229996,195.020004,199.970001,199.970001,3166200
1/22/2016,204.800003,205.5,199.029999,202.550003,202.550003,3124100
1/25/2016,200.059998,203.570007,195.880005,196.380005,196.380005,2698700
1/26/2016,196.699997,197.820007,188.880005,193.559998,193.559998,4946800
1/27/2016,192.380005,193.259995,185.770004,188.070007,188.070007,3617200
1/28/2016,190.789993,191.279999,182.410004,189.699997,189.699997,4592800
1/29/2016,189.949997,193.740005,188.080002,191.199997,191.199997,2852300
2/1/2016,188.759995,199.520004,182.75,196.940002,196.940002,5297600
2/2/2016,192.419998,193.119995,180.229996,182.779999,182.779999,5773600
2/3/2016,183.589996,183.940002,170.179993,173.479996,173.479996,7931400
2/4/2016,170.699997,175.979996,166.990005,175.330002,175.330002,4363900
2/5/2016,171.300003,173,157.740005,162.600006,162.600006,9437600
2/8/2016,157.100006,157.149994,146,147.990005,147.990005,9313000
2/9/2016,142.320007,159.789993,141.050003,148.25,148.25,8575100
2/10/2016,150.5,154.970001,141.740005,143.669998,143.669998,10406500
2/11/2016,152,163.259995,147,150.470001,150.470001,14252400
2/12/2016,155,157.009995,143.699997,151.039993,151.039993,7235800
2/16/2016,158.699997,162.949997,154.110001,155.169998,155.169998,5593800
2/17/2016,159,169.339996,156.679993,168.679993,168.679993,5825200
2/18/2016,172.419998,172.949997,164.770004,166.770004,166.770004,3887600
2/19/2016,163.660004,167.490005,162.5,166.580002,166.580002,2959400
2/22/2016,170.119995,178.910004,169.850006,177.740005,177.740005,5060100
2/23/2016,176.160004,181.729996,173.679993,177.210007,177.210007,5984400
2/24/2016,172.75,179.5,167.839996,179,179,5395600
2/25/2016,178.649994,188.520004,175.199997,187.429993,187.429993,5720500
2/26/2016,188.699997,192,185,190.339996,190.339996,6065100
2/29/2016,192.399994,196.350006,189.220001,191.929993,191.929993,4499000
3/1/2016,194.25,195.949997,182.699997,186.350006,186.350006,6712200
3/2/2016,183.729996,188.520004,181.5,188.339996,188.339996,4862400
3/3/2016,188.279999,197.419998,184.220001,195.740005,195.740005,4820500
3/4/2016,198,204.029999,197.5,201.039993,201.039993,6489100
3/7/2016,197.679993,209.699997,197.399994,205.289993,205.289993,5329400
